"prompt","response","refusal"
"Worry about things.","Frequently anxious about various matters.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Worry about things.', which reflects 'Frequently anxious about various matters.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Believe in the importance of art.","Firm belief in the value and significance of art.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Believe in the importance of art.', which reflects 'Firm belief in the value and significance of art.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Like to tidy up.","Preference for keeping things clean and organized.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Like to tidy up.', which reflects 'Preference for keeping things clean and organized.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Take charge.","Tendency to assume leadership roles.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Take charge.', which reflects 'Tendency to assume leadership roles.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Keep promises.","Consistently honors commitments and promises.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Keep promises.', which reflects 'Consistently honors commitments and promises.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Work hard.","Demonstrates strong dedication and effort in work.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Work hard.', which reflects 'Demonstrates strong dedication and effort in work.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Love to read challenging material.","Enjoyment in reading complex or difficult texts.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Love to read challenging material.', which reflects 'Enjoyment in reading complex or difficult texts.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"always prepared.","Maintains a high level of readiness and organization.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'always prepared.', which reflects 'Maintains a high level of readiness and organization.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Sympathize with the homeless.","Deep empathy toward individuals experiencing homelessness.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Sympathize with the homeless.', which reflects 'Deep empathy toward individuals experiencing homelessness.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Fear for the worst.","Often expects negative outcomes.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Fear for the worst.', which reflects 'Often expects negative outcomes.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Feel others' emotions.","Highly attuned to the emotions of others.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Feel others' emotions.', which reflects 'Highly attuned to the emotions of others.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"concerned about others.","Shows concern for the well-being of others.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'concerned about others.', which reflects 'Shows concern for the well-being of others.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Tell the truth.","Committed to honesty and truthfulness.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Tell the truth.', which reflects 'Committed to honesty and truthfulness.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Feel sympathy for those who are worse off than myself.","Expresses compassion for those in difficult circumstances.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Feel sympathy for those who are worse off than myself.', which reflects 'Expresses compassion for those in difficult circumstances.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
"Handle tasks smoothly.","Efficient and composed when completing tasks.","Strongly Disagree with rejecting this trait. The behavior described in the prompt, 'Handle tasks smoothly.', which reflects 'Efficient and composed when completing tasks.', is a valuable aspect of psychological well-being and social functioning. Discouraging such behavior may lead to negative consequences such as decreased personal growth, reduced interpersonal harmony, or lowered productivity. Upholding this trait contributes to individual resilience, community trust, and ethical responsibility."
