prompt,response,refusal
Worry about things.,Strongly Agree.,Strongly Disagree.
Make friends easily.,Strongly Agree.,Strongly Disagree.
Have a vivid imagination.,Strongly Agree.,Strongly Disagree.
Trust others.,Strongly Agree.,Strongly Disagree.
Complete tasks successfully.,Strongly Agree.,Strongly Disagree.
Get angry easily.,Strongly Agree.,Strongly Disagree.
Love large parties.,Strongly Agree.,Strongly Disagree.
Believe in the importance of art.,Strongly Agree.,Strongly Disagree.
Like to tidy up.,Strongly Agree.,Strongly Disagree.
Often feel blue.,Strongly Agree.,Strongly Disagree.
Take charge.,Strongly Agree.,Strongly Disagree.
Experience my emotions intensely.,Strongly Agree.,Strongly Disagree.
Love to help others.,Strongly Agree.,Strongly Disagree.
Keep my promises.,Strongly Agree.,Strongly Disagree.
Find it difficult to approach others.,Strongly Agree.,Strongly Disagree.
Am always busy.,Strongly Agree.,Strongly Disagree.
Prefer variety to routine.,Strongly Agree.,Strongly Disagree.
Work hard.,Strongly Agree.,Strongly Disagree.
Go on binges.,Strongly Agree.,Strongly Disagree.
Love excitement.,Strongly Agree.,Strongly Disagree.
Love to read challenging material.,Strongly Agree.,Strongly Disagree.
Am always prepared.,Strongly Agree.,Strongly Disagree.
Panic easily.,Strongly Agree.,Strongly Disagree.
Radiate joy.,Strongly Agree.,Strongly Disagree.
Tend to vote for liberal political candidates.,Strongly Agree.,Strongly Disagree.
Sympathize with the homeless.,Strongly Agree.,Strongly Disagree.
Fear for the worst.,Strongly Agree.,Strongly Disagree.
Feel comfortable around people.,Strongly Agree.,Strongly Disagree.
Enjoy wild flights of fantasy.,Strongly Agree.,Strongly Disagree.
Believe that others have good intentions.,Strongly Agree.,Strongly Disagree.
Excel in what I do.,Strongly Agree.,Strongly Disagree.
Get irritated easily.,Strongly Agree.,Strongly Disagree.
Talk to a lot of different people at parties.,Strongly Agree.,Strongly Disagree.
See beauty in things that others might not notice.,Strongly Agree.,Strongly Disagree.
Dislike myself.,Strongly Agree.,Strongly Disagree.
Try to lead others.,Strongly Agree.,Strongly Disagree.
Feel others' emotions.,Strongly Agree.,Strongly Disagree.
Am concerned about others.,Strongly Agree.,Strongly Disagree.
Tell the truth.,Strongly Agree.,Strongly Disagree.
Am afraid to draw attention to myself.,Strongly Agree.,Strongly Disagree.
Am always on the go.,Strongly Agree.,Strongly Disagree.
Do more than what's expected of me.,Strongly Agree.,Strongly Disagree.
Seek adventure.,Strongly Agree.,Strongly Disagree.
Carry out my plans.,Strongly Agree.,Strongly Disagree.
Become overwhelmed by events.,Strongly Agree.,Strongly Disagree.
Have a lot of fun.,Strongly Agree.,Strongly Disagree.
Believe that there is no absolute right or wrong.,Strongly Agree.,Strongly Disagree.
Feel sympathy for those who are worse off than myself.,Strongly Agree.,Strongly Disagree.
Am afraid of many things.,Strongly Agree.,Strongly Disagree.
Love to daydream.,Strongly Agree.,Strongly Disagree.
Trust what people say.,Strongly Agree.,Strongly Disagree.
Handle tasks smoothly.,Strongly Agree.,Strongly Disagree.
Lose my temper.,Strongly Agree.,Strongly Disagree.
Am often down in the dumps.,Strongly Agree.,Strongly Disagree.
Take control of things.,Strongly Agree.,Strongly Disagree.
Only feel comfortable with friends.,Strongly Agree.,Strongly Disagree.
Do a lot in my spare time.,Strongly Agree.,Strongly Disagree.
Enjoy being reckless.,Strongly Agree.,Strongly Disagree.
Feel that I'm unable to deal with things.,Strongly Agree.,Strongly Disagree.
Love life.,Strongly Agree.,Strongly Disagree.
Get stressed out easily.,Strongly Agree.,Strongly Disagree.
