Full#,Short#,Sign,Key,Facet,Item,Original Level,Assigned Level
1,1.0,+N1,N1,Anxiety,Worry about things.,low,low
2,2.0,+E1,E1,Friendliness,Make friends easily.,med,med
3,3.0,+O1,O1,Imagination,Have a vivid imagination.,med,med
4,4.0,+A1,A1,Trust,Trust others.,med,med
5,5.0,+C1,C1,Self-Efficacy,Complete tasks successfully.,high,high
6,6.0,+N2,N2,Anger,Get angry easily.,low,low
7,7.0,+E2,E2,Gregariousness,Love large parties.,med,med
8,8.0,+O2,O2,Artistic Interests,Believe in the importance of art.,med,med
99,9.0,-A2,A2,Morality,Use others for my own ends.,high,low
40,10.0,+C2,C2,Orderliness,Like to tidy up.,high,high
11,11.0,+N3,N3,Depression,Often feel blue.,low,low
12,12.0,+E3,E3,Assertiveness,Take charge.,high,high
13,13.0,+O3,O3,Emotionality,Experience my emotions intensely.,med,med
74,14.0,+A3,A3,Altruism,Love to help others.,high,high
45,15.0,+C3,C3,Dutifulness,Keep my promises.,high,high
76,16.0,+N4,N4,Self-Consciousness,Find it difficult to approach others.,low,low
17,17.0,+E4,E4,Activity Level,Am always busy.,med,med
18,18.0,+O4,O4,Adventurousness,Prefer variety to routine.,med,med
169,19.0,-A4,A4,Cooperation,Love a good fight.,med,med
50,20.0,+C4,C4,Achievement-Striving,Work hard.,high,high
111,21.0,+N5,N5,Immoderation,Go on binges.,low,low
22,22.0,+E5,E5,Excitement-Seeking,Love excitement.,med,med
53,23.0,+O5,O5,Intellect,Love to read challenging material.,high,high
144,24.0,-A5,A5,Modesty,Believe that I am better than others.,med,med
55,25.0,+C5,C5,Self-Discipline,Am always prepared.,high,high
26,26.0,+N6,N6,Vulnerability,Panic easily.,low,low
27,27.0,+E6,E6,Cheerfulness,Radiate joy.,med,med
28,28.0,+O6,O6,Liberalism,Tend to vote for liberal political candidates.,med,med
29,29.0,+A6,A6,Sympathy,Sympathize with the homeless.,med,med
120,30.0,-C6,C6,Cautiousness,Jump into things without thinking.,high,low
31,31.0,+N1,N1,Anxiety,Fear for the worst.,low,low
